,predicted,position,first_name,second_name,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,influence,creativity,threat
50,DEF,MID,Conor,Gallagher,5.7,24,521,1,1,1,2,1,2,145.0,159.3,129.0
162,DEF,DEF,Nathan,Patterson,4.0,24,986,0,0,2,3,0,0,178.8,78.1,102.0
224,DEF,DEF,Scott,McKenna,4.4,24,1260,0,0,3,4,0,0,232.6,82.5,30.0
98,DEF,DEF,Trevoh,Chalobah,4.6,24,722,0,0,3,1,0,0,107.2,12.0,48.0
54,DEF,MID,Daniel,James,6.0,23,535,1,0,1,0,0,0,77.6,74.4,166.0
58,DEF,DEF,Kyle,Walker,4.8,23,560,0,0,3,0,0,0,69.4,66.9,6.0
22,DEF,DEF,Matt,Targett,4.8,23,420,0,0,2,0,0,2,78.8,101.0,8.0
28,DEF,DEF,Konstantinos,Tsimikas,4.5,23,436,0,3,1,1,0,0,126.2,200.9,118.0
16,DEF,DEF,Willy,Boly,4.2,23,399,0,1,2,1,0,5,84.6,11.4,18.0
107,GK,GK,Edouard,Mendy,4.8,23,765,0,0,1,1,0,0,200.4,0.0,0.0
118,DEF,MID,Jordan,Henderson,5.3,23,810,0,0,2,0,0,0,120.0,196.5,95.0
114,DEF,DEF,Cristian,Romero,4.9,22,792,0,0,2,2,0,2,148.8,50.0,52.0
31,DEF,DEF,Takehiro,Tomiyasu,4.2,22,448,0,0,2,1,0,0,80.6,44.4,24.0
33,DEF,MID,Luis,Sinisterra Lucumí,6.5,22,450,2,0,0,1,1,3,103.2,81.4,116.0
99,DEF,DEF,Mathias,Jorgensen,4.0,21,725,0,0,2,1,0,0,157.2,16.1,36.0
57,DEF,MID,Lewis,O'Brien,4.8,21,558,1,0,1,2,0,0,107.6,55.6,47.0
25,DEF,FWD,Richarlison,de Andrade,8.4,21,434,0,3,0,2,0,1,85.0,124.5,183.0
30,DEF,DEF,Kieran,Tierney,4.7,21,447,0,0,1,0,0,0,71.4,54.1,45.0
77,DEF,MID,Mateo,Kovacic,4.9,21,659,0,1,2,2,0,0,107.2,138.2,49.0
129,DEF,DEF,Nélson,Cabral Semedo,5.0,21,874,0,1,1,4,1,1,149.6,105.2,24.0
59,DEF,DEF,Matt,Doherty,4.6,21,561,0,0,2,0,0,0,77.8,71.3,96.0
17,DEF,MID,Tom,Cairney,4.7,21,406,0,1,0,1,0,0,68.0,134.2,138.0
141,DEF,DEF,Vladimir,Coufal,4.1,21,909,0,1,1,3,0,0,139.0,149.9,17.0
10,DEF,FWD,Emmanuel,Dennis,5.8,20,366,1,1,0,2,0,2,71.6,56.4,140.0
15,DEF,MID,Anthony,Elanga,4.7,20,390,0,1,2,0,0,0,48.2,67.2,139.0
35,DEF,MID,James,Milner,4.4,20,460,0,1,1,0,0,0,106.4,145.4,83.0
56,DEF,DEF,Davinson,Sánchez,4.3,20,550,0,0,2,1,0,1,129.6,24.8,48.0
45,DEF,MID,Leander,Dendoncker,4.7,20,512,0,0,2,0,0,0,88.4,57.1,55.0
49,FWD,FWD,Cristiano Ronaldo,dos Santos Aveiro,10.2,20,519,1,0,3,2,0,3,63.8,83.2,218.0
63,DEF,MID,Philippe,Coutinho Correia,6.6,20,582,0,0,3,2,0,0,63.0,108.7,176.0
111,DEF,DEF,Nathaniel,Clyne,4.5,20,781,0,0,1,1,0,0,87.8,55.2,4.0
188,DEF,DEF,Matty,Cash,4.6,20,1098,0,0,1,3,0,0,146.4,140.8,53.0
154,DEF,DEF,Steve,Cook,4.4,20,956,0,0,2,4,0,0,177.4,39.3,28.0
135,DEF,MID,Boubacar,Kamara,4.8,20,887,0,0,1,2,0,0,149.6,53.8,13.0
44,DEF,MID,Hwang,Hee-chan,5.7,19,511,0,1,0,1,0,0,49.0,52.8,96.0
173,DEF,DEF,Armel,Bella-Kotchap,4.5,19,1027,0,1,0,1,0,0,203.8,36.7,81.0
12,DEF,MID,Ayoze,Pérez,4.7,19,378,0,2,1,0,0,0,65.2,151.0,92.0
136,DEF,MID,Thiago,Alcántara do Nascimento,5.2,19,891,0,0,1,2,0,0,168.0,200.7,72.0
115,DEF,DEF,Clément,Lenglet,4.8,19,795,0,2,0,1,0,3,185.4,66.4,70.0
108,DEF,MID,Yves,Bissouma,4.7,19,767,0,0,1,5,0,0,94.6,103.4,21.0
41,FWD,FWD,Dominic,Calvert-Lewin,7.9,19,488,1,0,2,1,0,2,47.4,41.6,134.0
61,DEF,MID,Moussa,Djenepo,5.0,19,567,0,1,0,0,0,0,106.2,76.6,41.0
23,DEF,MID,Shandon,Baptiste,4.5,18,423,0,1,1,1,0,0,60.4,91.9,39.0
66,MID,MID,Pedro,Lomba Neto,4.9,18,600,0,0,4,1,0,0,59.0,197.8,163.0
67,DEF,DEF,Harry,Toffolo,4.3,18,604,0,0,1,0,0,1,85.4,79.6,26.0
70,DEF,MID,Roméo,Lavia,4.5,18,620,1,0,0,2,0,0,108.8,49.1,23.0
72,DEF,DEF,Hugo,Bueno López,3.9,18,626,0,1,1,1,0,2,124.0,129.3,67.0
26,DEF,MID,Frank,Onyeka,4.8,18,435,0,1,1,0,0,0,71.0,59.9,59.0
112,DEF,MID,Wilfred,Ndidi,4.8,17,782,0,0,0,3,0,0,146.0,33.7,40.0
4,DEF,FWD,Pierre-Emerick,Aubameyang,8.6,17,328,1,0,1,1,0,3,46.4,40.9,78.0
24,FWD,FWD,Patrick,Bamford,7.2,17,425,0,2,0,0,0,0,55.2,52.4,269.0
47,DEF,DEF,Pontus,Jansson,4.2,17,514,0,0,2,0,0,0,97.2,1.5,10.0
40,DEF,DEF,Ben,Johnson,4.4,16,487,0,0,1,0,0,1,97.6,46.3,2.0
