Rk,Player,Squad,Gls▼,xG
332,Karl Darlow,Newcastle Utd,0,0
333,Josh Dasilva,Brentford,0,0.1
334,Keinan Davis,Aston Villa,0,0
335,Troy Deeney,Watford,0,0.1
336,Liam Delap,Manchester City,0,0
337,Fabian Delph,Everton,0,0.1
338,Ibrahima Diallo,Southampton,0,0.6
339,Eric Dier,Tottenham,0,1.3
340,Lucas Digne,Aston Villa,0,0.6
341,Lucas Digne,Everton,0,0.4
342,Issa Diop,West Ham,0,0.2
343,Moussa Djenepo,Southampton,0,1.4
344,Lewis Dobbin,Everton,0,0
345,Cody Drameh,Leeds United,0,0
346,Martin Dúbravka,Newcastle Utd,0,0
347,Paul Dummett,Newcastle Utd,0,0
348,Ederson,Manchester City,0,0
349,CJ Egan-Riley,Manchester City,0,0
350,Harvey Elliott,Liverpool,0,1.1
351,Mohamed Elneny,Arsenal,0,0.2
352,Oghenekaro Etebo,Watford,0,0.1
353,Łukasz Fabiański,West Ham,0,0
354,Kiko Femenía,Watford,0,0.2
355,Evan Ferguson,Brighton,0,0
356,Nathan Ferguson,Crystal Palace,0,0
357,Álvaro Fernández,Brentford,0,0
358,Federico Fernández,Newcastle Utd,0,0.5
359,Junior Firpo,Leeds United,0,1.1
360,Ashley Fletcher,Watford,0,0.3
361,Wesley Fofana,Leicester City,0,0.6
362,Adam Forshaw,Leeds United,0,0.6
363,Marcus Forss,Brentford,0,0.5
364,Fraser Forster,Southampton,0,0
365,Ben Foster,Watford,0,0
366,Tariqe Fosu,Brentford,0,0.1
367,Ryan Fredericks,West Ham,0,0
368,Leo Fuhr Hjelde,Leeds United,0,0
369,Alejandro Garnacho,Manchester Utd,0,0
370,Dwight Gayle,Newcastle Utd,0,0.4
371,Jean-Philippe Gbamin,Everton,0,0
372,David de Gea,Manchester Utd,0,0
373,Anwar El Ghazi,Everton,0,0
374,Dimitris Giannoulis,Norwich City,0,0.1
375,Morgan Gibbs-White,Wolves,0,0.2
376,Ben Gibson,Norwich City,0,1
377,Billy Gilmour,Norwich City,0,1
378,Ben Godfrey,Everton,0,1.4
379,André Gomes,Everton,0,0.7
380,Toti Gomes,Wolves,0,0
381,Joe Gomez,Liverpool,0,0
382,Charlie Goode,Brentford,0,0.1
383,Kaide Gordon,Liverpool,0,0.4
384,Sam Greenwood,Leeds United,0,0.4
385,Vicente Guaita,Crystal Palace,0,0
386,Angus Gunn,Norwich City,0,0
387,Wayne Hennessey,Burnley,0,0
388,Ki-Jana Hoever,Wolves,0,0.1
389,Will Hughes,Crystal Palace,0,0.2
390,Tim Iroegbunam,Aston Villa,0,0.2
391,Daniel James,Manchester Utd,0,0.3
392,Mathias Jensen,Brentford,0,2.9
393,Phil Jones,Manchester Utd,0,0
394,James Justin,Leicester City,0,0.5
395,Ozan Kabak,Norwich City,0,0.3
396,Christian Kabasele,Watford,0,1
397,Samuel Kalu,Watford,0,0.2
398,Edo Kayembe,Watford,0,0.3
399,Moise Kean,Everton,0,0
400,Caoimhín Kelleher,Liverpool,0,0
401,Kenedy,Chelsea,0,0.1
402,Jonjoe Kenny,Everton,0,0.3
403,Kristoffer Klaesson,Leeds United,0,0
404,Robin Koch,Leeds United,0,1
405,Sead Kolašinac,Arsenal,0,0
406,Ibrahima Konaté,Liverpool,0,0.3
407,Cheikhou Kouyaté,Crystal Palace,0,0.5
408,Emil Krafth,Newcastle Utd,0,0.5
409,Alex Král,West Ham,0,0
410,Tim Krul,Norwich City,0,0
411,Adam Lallana,Brighton,0,1.4
412,Tariq Lamptey,Brighton,0,1.1
413,Bernd Leno,Arsenal,0,0
414,Jamal Lewis,Newcastle Utd,0,0
415,Victor Lindelöf,Manchester Utd,0,0.2
416,Hugo Lloris,Tottenham,0,0
417,Giovani Lo Celso,Tottenham,0,0.7
418,Jürgen Locadia,Brighton,0,0.1
419,Ruben Loftus-Cheek,Chelsea,0,1.8
420,Kevin Long,Burnley,0,0.2
421,Jonas Lössl,Brentford,0,0
422,Imran Louza,Watford,0,1.2
423,Lyanco,Southampton,0,0.3
424,Ainsley Maitland-Niles,Arsenal,0,0.1
425,Fernando Marçal,Wolves,0,0.7
426,Solly March,Brighton,0,1.3
427,Pablo Marí,Arsenal,0,0.1
428,Emiliano Martínez,Aston Villa,0,0
429,Adam Masina,Watford,0,0.4
430,Juan Mata,Manchester Utd,0,0.4
431,Nemanja Matić,Manchester Utd,0,0.3
432,James McArthur,Crystal Palace,0,0.4
433,James Mcatee,Manchester City,0,0.1
434,Kasey McAteer,Leicester City,0,0
435,Liam McCarron,Leeds United,0,0
436,Alex McCarthy,Southampton,0,0
437,Stuart McKinstry,Leeds United,0,0
438,Dwight McNeil,Burnley,0,2.9
439,Hannibal Mejbri,Manchester Utd,0,0.1
440,Benjamin Mendy,Manchester City,0,0
441,Edouard Mendy,Chelsea,0,0
442,Nampalys Mendy,Leicester City,0,0
443,Illan Meslier,Leeds United,0,0
444,Luka Milivojević,Crystal Palace,0,0.4
445,James Milner,Liverpool,0,0.4
446,Yerry Mina,Everton,0,0.4
447,Tyrick Mitchell,Crystal Palace,0,0.4
448,Jakub Moder,Brighton,0,3.1
449,Wesley Moraes,Aston Villa,0,0
450,Tyler Morton,Liverpool,0,0
451,Bali Mumba,Norwich City,0,0
452,Marvelous Nakamba,Aston Villa,0,0
453,Wilfred Ndidi,Leicester City,0,1.1
454,Reiss Nelson,Arsenal,0,0
455,Jeremy Ngakia,Watford,0,0.1
456,Saúl Ñíguez,Chelsea,0,0.3
457,Nicolas Nkoulou,Watford,0,0
458,Robin Olsen,Aston Villa,0,0
459,Tyler Onyango,Everton,0,0.1
460,Frank Onyeka,Brentford,0,1.2
461,Cole Palmer,Manchester City,0,0.6
462,Emerson Palmieri,Chelsea,0,0
463,Sonny Perkins,West Ham,0,
464,Romain Perraud,Southampton,0,0.8
465,Kalvin Phillips,Leeds United,0,1.1
466,Jaden Philogene Bidace,Aston Villa,0,0
467,Jordan Pickford,Everton,0,0
468,Erik Pieters,Burnley,0,0.3
469,Nick Pope,Burnley,0,0
470,Isaac Price,Everton,0,0.1
471,Przemysław Płacheta,Norwich City,0,0.5
472,Jesuran Rak Sakyi,Crystal Palace,0,0
473,Aaron Ramsdale,Arsenal,0,0
474,David Raya,Brentford,0,0
475,Taylor Richards,Brighton,0,0
476,Jaïro Riedewald,Crystal Palace,0,0
477,Matt Ritchie,Newcastle Utd,0,1
478,Joe Rodon,Tottenham,0,0
479,Danny Rose,Watford,0,0.3
480,Jon Rowe,Norwich City,0,0.2
481,John Ruddy,Wolves,0,0
482,Lukas Rupp,Norwich City,0,0.8
483,José Sá,Wolves,0,0
484,Mohammed Salisu,Southampton,0,2
485,Albert Sambi Lokonga,Arsenal,0,0.8
486,Robert Sánchez,Brighton,0,0
487,Morgan Sanson,Aston Villa,0,0
488,Samir Santos,Watford,0,0.6
489,Jeremy Sarmiento,Brighton,0,0
490,Malang Sarr,Chelsea,0,0
491,Dane Scarlett,Tottenham,0,0
492,Kasper Schmeichel,Leicester City,0,0
493,Ken Sema,Watford,0,0.2
494,Nélson Semedo,Wolves,0,1.6
495,Ryan Sessegnon,Tottenham,0,0.5
496,Jamie Shackleton,Leeds United,0,0.2
497,Luke Shaw,Manchester Utd,0,0.3
498,Shola Shoretire,Manchester Utd,0,0
499,Francisco Sierralta,Watford,0,0.1
500,Fábio Silva,Wolves,0,2.1
501,Ellis Simms,Everton,0,0
502,Oliver Skipp,Tottenham,0,0.3
503,William Smallbone,Southampton,0,0.1
504,Boubakary Soumaré,Leicester City,0,0.5
505,Tony Springett,Norwich City,0,0.1
506,Jason Steele,Brighton,0,0
